pk_anuncio_id,marca,modelo,precio,combustible,anyo_vehiculo,kilometraje,potencia,num_puertas,num_plazas,tipo_cambio,tipo_vehiculo,cilindrada_motor,color,provincia,etiqueta_eco,origen_anuncio,fecha_publicacion,anyomes_publicacion,fecha_carga,url
104374,TOYOTA,Corolla Verso,2499.0,Diésel,2006.0,501000,,5,,Manual,,,gris,Valencia,,dataset kaggle,2020-12-26,202012,2021-01-15 00:00:00,98e6f5645cf755379487e27925f29369
104375,TOYOTA,Rav4,6000.0,Diésel,2007.0,180000,,5,,Manual,,,azul,Valencia,,dataset kaggle,2020-11-29,202011,2021-01-15 00:00:00,a7ba5db5bfd856d0f5911d73c3f9c572
104376,KIA,ceed,7900.0,Diésel,2015.0,94000,90.0,5,,Manual,,,blanco,Girona,,dataset kaggle,2020-11-27,202011,2021-01-15 00:00:00,77b38b9e447eb9c533ba4bea91a326fa
104377,TOYOTA,Avensis,14900.0,Diésel,2017.0,59649,112.0,4,,Manual,,,azul,Albacete,,dataset kaggle,2021-01-13,202101,2021-01-15 00:00:00,5a9f73a2635a1655178cc6d7f41b5c58
104378,TOYOTA,Camry,27400.0,Gasolina,2020.0,7810,218.0,4,,Automático,,,azul,Tarragona,,dataset kaggle,2020-12-28,202012,2021-01-15 00:00:00,81cae42f0c8c20eaf327dd0a1f2372ff
104379,HYUNDAI,i20,9900.0,Gasolina,2018.0,44618,84.0,5,,Manual,,,gris,Valencia,,dataset kaggle,2021-01-10,202101,2021-01-15 00:00:00,3858a8a4c42d6a99667e265fe4874c23
104380,TOYOTA,Proace,19340.0,Diésel,2020.0,4,102.0,4,,Manual,,,blanco,Zamora,,dataset kaggle,2021-01-09,202101,2021-01-15 00:00:00,1b8247c386088cd8d53371ef341d7df5
104381,NISSAN,LEAF,7990.0,Eléctrico,2015.0,41700,109.0,5,,Automático,,,blanco,Madrid,,dataset kaggle,2020-12-25,202012,2021-01-15 00:00:00,d717fec334983b0f32a3b89acf9c235d
104382,TOYOTA,Corolla,3800.0,Diésel,2005.0,136000,90.0,5,,Manual,,,azul,Valencia,,dataset kaggle,2020-12-26,202012,2021-01-15 00:00:00,cdb5b6d942c257280dc23747488a68f4
104383,NISSAN,QASHQAI,15700.0,Diésel,2016.0,110909,110.0,5,,Manual,,,blanco,Málaga,,dataset kaggle,2021-01-11,202101,2021-01-15 00:00:00,6ab7b118ad092ad23de45d62cd122a99
104384,NISSAN,Terrano II,6000.0,Diésel,1996.0,300000,,5,,Manual,,,blanco,Madrid,,dataset kaggle,2020-12-26,202012,2021-01-15 00:00:00,90c29f961561285a4c1c0fc0cb3a7e35
104385,KIA,Stonic,16990.0,Gasolina,2019.0,10700,100.0,5,,Manual,,,gris,Valencia,,dataset kaggle,2021-01-14,202101,2021-01-15 00:00:00,1ddc4932ccfd9bf53c4addba969f4a17
104386,TOYOTA,C-HR,19795.0,Híbrido,2019.0,59494,122.0,5,,Automático,,,blanco,Murcia,,dataset kaggle,2020-12-26,202012,2021-01-15 00:00:00,2284dd0600ce60a734f78327cb65cf13
104387,NISSAN,X-TRAIL,21900.0,Diésel,2018.0,35418,130.0,5,,Automático,,,marrón,Madrid,,dataset kaggle,2021-01-01,202101,2021-01-15 00:00:00,08c418c62394452c2a081cc82c15f6b3
104388,HYUNDAI,TUCSON,23990.0,Híbrido,2020.0,3,116.0,5,,Manual,,,blanco,Murcia,,dataset kaggle,2021-01-08,202101,2021-01-15 00:00:00,d5da6b055fb98d23df44504ebf87c97f
104389,KIA,ceed Sportswagon,8600.0,Diésel,2014.0,98000,128.0,5,,Manual,,,blanco,Madrid,,dataset kaggle,2020-12-23,202012,2021-01-15 00:00:00,e23994645da0ab70ba54fcbcfbc3a0e3
